quote,author,tags,searchable_text
“Be yourself; everyone else is already taken.”,Oscar Wilde,"['be-yourself', 'gilbert-perreira', 'honesty', 'inspirational', 'misattributed-oscar-wilde', 'quote-investigator']",Quote: “Be yourself; everyone else is already taken.” Author: Oscar Wilde By: Oscar Wilde About: be-yourself Topic: be-yourself Theme: be-yourself About: gilbert-perreira Topic: gilbert-perreira Theme: gilbert-perreira About: honesty Topic: honesty Theme: honesty About: inspirational Topic: inspirational Theme: inspirational About: misattributed-oscar-wilde Topic: misattributed-oscar-wilde Theme: misattributed-oscar-wilde About: quote-investigator Topic: quote-investigator Theme: quote-investigator book quotes
"“I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.”",Marilyn Monroe,"['best', 'life', 'love', 'mistakes', 'out-of-control', 'truth', 'worst']","Quote: “I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.” Author: Marilyn Monroe By: Marilyn Monroe About: best Topic: best Theme: best About: life Topic: life Theme: life About: love Topic: love Theme: love About: mistakes Topic: mistakes Theme: mistakes About: out-of-control Topic: out-of-control Theme: out-of-control About: truth Topic: truth Theme: truth About: worst Topic: worst Theme: worst life quotes"
“Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.”,Albert Einstein,"['human-nature', 'humor', 'infinity', 'philosophy', 'science', 'stupidity', 'universe']",Quote: “Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.” Author: Albert Einstein By: Albert Einstein About: human-nature Topic: human-nature Theme: human-nature About: humor Topic: humor Theme: humor About: infinity Topic: infinity Theme: infinity About: philosophy Topic: philosophy Theme: philosophy About: science Topic: science Theme: science About: stupidity Topic: stupidity Theme: stupidity About: universe Topic: universe Theme: universe
"“So many books, so little time.”",Frank Zappa,"['books', 'humor']","Quote: “So many books, so little time.” Author: Frank Zappa By: Frank Zappa About: books Topic: books Theme: books About: humor Topic: humor Theme: humor life quotes book quotes"
“A room without books is like a body without a soul.”,Marcus Tullius Cicero,"['books', 'simile', 'soul']",Quote: “A room without books is like a body without a soul.” Author: Marcus Tullius Cicero By: Marcus Tullius Cicero About: books Topic: books Theme: books About: simile Topic: simile Theme: simile About: soul Topic: soul Theme: soul book quotes
"“Be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind.”",Bernard M. Baruch,"['ataraxy', 'be-yourself', 'confidence', 'fitting-in', 'individuality', 'misattributed-dr-seuss', 'those-who-matter']","Quote: “Be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind.” Author: Bernard M. Baruch By: Bernard M. Baruch About: ataraxy Topic: ataraxy Theme: ataraxy About: be-yourself Topic: be-yourself Theme: be-yourself About: confidence Topic: confidence Theme: confidence About: fitting-in Topic: fitting-in Theme: fitting-in About: individuality Topic: individuality Theme: individuality About: misattributed-dr-seuss Topic: misattributed-dr-seuss Theme: misattributed-dr-seuss About: those-who-matter Topic: those-who-matter Theme: those-who-matter"
"“You've gotta dance like there's nobody watching,Love like you'll never be hurt,Sing like there's nobody listening,And live like it's heaven on earth.”",William W. Purkey,"['dance', 'heaven', 'hurt', 'inspirational', 'life', 'love', 'sing']","Quote: “You've gotta dance like there's nobody watching,Love like you'll never be hurt,Sing like there's nobody listening,And live like it's heaven on earth.” Author: William W. Purkey By: William W. Purkey About: dance Topic: dance Theme: dance About: heaven Topic: heaven Theme: heaven About: hurt Topic: hurt Theme: hurt About: inspirational Topic: inspirational Theme: inspirational About: life Topic: life Theme: life About: love Topic: love Theme: love About: sing Topic: sing Theme: sing love quotes"
“You know you're in love when you can't fall asleep because reality is finally better than your dreams.”,Dr. Seuss,"['dreams', 'love', 'reality', 'sleep']",Quote: “You know you're in love when you can't fall asleep because reality is finally better than your dreams.” Author: Dr. Seuss By: Dr. Seuss About: dreams Topic: dreams Theme: dreams About: love Topic: love Theme: love About: reality Topic: reality Theme: reality About: sleep Topic: sleep Theme: sleep love quotes
"“You only live once, but if you do it right, once is enough.”",Mae West,"['humor', 'life']","Quote: “You only live once, but if you do it right, once is enough.” Author: Mae West By: Mae West About: humor Topic: humor Theme: humor About: life Topic: life Theme: life"
“Be the change that you wish to see in the world.”,Mahatma Gandhi,"['action', 'change', 'inspirational', 'philosophy', 'wish']",Quote: “Be the change that you wish to see in the world.” Author: Mahatma Gandhi By: Mahatma Gandhi About: action Topic: action Theme: action About: change Topic: change Theme: change About: inspirational Topic: inspirational Theme: inspirational About: philosophy Topic: philosophy Theme: philosophy About: wish Topic: wish Theme: wish
“In three words I can sum up everything I've learned about life: it goes on.”,Robert Frost,['life'],Quote: “In three words I can sum up everything I've learned about life: it goes on.” Author: Robert Frost By: Robert Frost About: life Topic: life Theme: life life quotes
"“If you want to know what a man's like, take a good look at how he treats his inferiors, not his equals.”","J.K. Rowling,","['character', 'sirius-black']","Quote: “If you want to know what a man's like, take a good look at how he treats his inferiors, not his equals.” Author: J.K. Rowling, By: J.K. Rowling, About: character Topic: character Theme: character About: sirius-black Topic: sirius-black Theme: sirius-black"
“Donâ€™t walk in front of meâ€¦ I may not followDonâ€™t walk behind meâ€¦ I may not leadWalk beside meâ€¦ just be my friend”,Albert Camus,"['friends', 'friendship', 'misattributed-albert-camus']",Quote: “Donâ€™t walk in front of meâ€¦ I may not followDonâ€™t walk behind meâ€¦ I may not leadWalk beside meâ€¦ just be my friend” Author: Albert Camus By: Albert Camus About: friends Topic: friends Theme: friends About: friendship Topic: friendship Theme: friendship About: misattributed-albert-camus Topic: misattributed-albert-camus Theme: misattributed-albert-camus
"“If you tell the truth, you don't have to remember anything.”",Mark Twain,"['lies', 'lying', 'memory', 'truth']","Quote: “If you tell the truth, you don't have to remember anything.” Author: Mark Twain By: Mark Twain About: lies Topic: lies Theme: lies About: lying Topic: lying Theme: lying About: memory Topic: memory Theme: memory About: truth Topic: truth Theme: truth"
"“Friendship ... is born at the moment when one man says to another ""What! You too? I thought that no one but myself . . .”","C.S. Lewis,",['friendship'],"Quote: “Friendship ... is born at the moment when one man says to another ""What! You too? I thought that no one but myself . . .” Author: C.S. Lewis, By: C.S. Lewis, About: friendship Topic: friendship Theme: friendship life quotes"
